No,Driver_ID,Start_Time,Start_Post,Start_Latitude,Start_Longitude,End_Time,End_Post,End_Latitude,End_Longitude,Schedule_Date,Service_Quality,Start_Slot,End_Slot,DistrictCode
3081,7262EB27C941024DA6758EAE6F0F75,2016-12-01 00:12:37,819643,1.355322,103.988337,2016-12-01 23:27:48,248726,1.296721,103.825603,2/12/2016,75.60610103,1,141,17.0
8945,DF3E6DB87D2C15F464A6C5DF7F71D4,2016-12-01 03:06:16,218163,1.315107,103.857719,2016-12-01 13:42:37,208787,1.304039,103.854672,2/12/2016,69.68739997,19,82,8.0
15869,EE03BFEE482EDF81DA17084E9482FD,2016-12-01 07:06:51,550130,1.366139,103.873163,2016-12-01 16:53:32,822308,1.407668,103.899526,2/12/2016,95.62568966,43,101,19.0
21607,D5AB1CE22C00ADED55F50FED073DFE,2016-12-01 08:33:18,680552,1.394608,103.742592,2016-12-01 19:24:18,1,1.292474,103.856522,2/12/2016,64.41365928,51,116,23.0
5491,E0A28CF8E1984485ECC8C1259CCE11,2016-12-01 00:28:08,228796,1.301793,103.840857,2016-12-01 23:43:19,424212,1.308669,103.916003,2/12/2016,89.23374869,3,142,9.0
6794,978EEE9C29F2AC17DC091A0A8B0F75,2016-12-01 00:43:03,609731,1.33352,103.740277,2016-12-01 23:57:57,387420,1.313834,103.877051,2/12/2016,70.38950146,4,144,22.0
7477,A8EB230F2F260869BB84DC107C0578,2016-12-01 00:56:16,98803,1.299509,103.837,2016-12-01 23:53:01,330093,1.321993,103.871588,2/12/2016,82.65311608,6,143,4.0
5184,657479C47F04D8A7EAB06A99CFDF51,2016-12-01 00:25:39,768959,1.438563,103.839285,2016-12-01 23:46:27,85501,1.276639,103.841152,2/12/2016,67.86292062,2,143,27.0
7250,C7A07DB64ECD20AB1974115C679BB5,2016-12-01 00:51:13,48580,1.281712,103.851423,2016-12-01 23:30:04,640624,1.340769,103.69774,2/12/2016,79.66768645,5,141,1.0
23518,CD57D2EC08591A1B66A711C3B50B21,2016-12-01 09:26:55,760132,1.432856,103.831298,2016-12-01 16:01:41,162119,1.281051,103.827426,2/12/2016,66.18235998,57,96,27.0
19320,6C3E79F8DBE07ADCD7C84D4EA4C84D,2016-12-01 07:55:17,88520,1.277382,103.84375,2016-12-01 15:45:21,671185,1.379204,103.762578,2/12/2016,74.35456444,48,94,2.0
17804,142B2761FAEDF58014A9E81C74709B,2016-12-01 07:34:02,530838,1.370206,103.891269,2016-12-01 18:36:38,760399,1.427571,103.847329,2/12/2016,98.79753967,45,112,19.0
17197,B635FF17B415259E9C6F80B13226F6,2016-12-01 07:25:31,640908,1.340487,103.686339,2016-12-01 23:21:27,760606,1.421365,103.836076,2/12/2016,79.27691082,44,140,22.0
18206,37AEABD6F2DB1463972390765C6CA6,2016-12-01 07:39:39,470716,1.337892,103.924918,2016-12-01 19:20:18,248706,1.300602,103.825044,2/12/2016,78.9852881,46,116,16.0
12444,59FD3AEC0FABCEBF20C9FE12A4A667,2016-12-01 06:11:14,671635,1.386167,103.758194,2016-12-01 16:40:09,436950,1.315093,103.894519,2/12/2016,68.47698815,37,100,23.0
13571,D0C5A34861B8AD5E701B863A1E34A7,2016-12-01 06:30:21,530910,1.378943,103.882907,2016-12-01 17:07:36,538751,1.351777,103.881277,2/12/2016,67.79947214,39,103,19.0
3477,74AAC151C8F6396E40EA95592E5FB8,2016-12-01 00:14:36,228796,1.301793,103.840857,2016-12-01 23:25:23,278575,1.312816,103.798287,2/12/2016,66.23955174,1,140,9.0
7398,8583E4923D9FF840FCA74AB76C1265,2016-12-01 00:54:09,560541,1.374013,103.855623,2016-12-01 20:04:59,546814,1.366105,103.881112,2/12/2016,90.32837787,5,120,20.0
215,71E3387F5F8E010D492FCD38610AA1,2016-12-01 00:00:45,188307,1.300626,103.849458,2016-12-01 23:46:12,769134,1.410547,103.831115,2/12/2016,87.49215133,0,143,7.0
4166,C8BCEDC5567FB433D02087DE5FE7C8,2016-12-01 00:18:19,188307,1.300626,103.849458,2016-12-01 22:40:22,467350,1.325244,103.932204,2/12/2016,98.66098817,2,136,7.0
1848,BB1ADB6806159A9EAE0FA38FAC6E26,2016-12-01 00:07:05,819642,1.362159,103.990051,2016-12-01 22:51:32,160122,1.283358,103.828692,2/12/2016,76.71959935,1,137,17.0
